Pompei_VI.5_CE_2201,Morel_2971,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2202,Morel_4362,skyphos,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_2203,Morel_2152,vaso_apodo,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_2206,Morel_2825a,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2207,Morel_2825a,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_221,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,,
Pompei_VI.5_CE_222,coppa,vaso_modanato,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_223,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_224,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_225,kylix,open,stemmed_cup,forma_aperta,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_226,Morel_2243,Morel_2200,patère,patera,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_284,Morel_2152,vaso_apodo,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_285,Morel_2152,vaso_apodo,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_292,kantharos,,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_333,forma_aperta,open,aperta,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_335,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,,
Pompei_VI.5_CE_336,Morel_2787,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_337,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,,
Pompei_VI.5_CE_338,patère,patera,Morel_2252e,Morel_2252,Morel_2200,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_339.5,forma_aperta,open,aperta,,,,,,,,,,,,,,,,,,,
